theta    m1    n1    m2    n2    point_distance
 3.3094246011     48      7     44     10    0.0000825359
 4.3293952337     48     11     43     15    0.0028880722
 1.1984029001     48     17     47     15    0.0008642354
 3.8779229078     48     30     50     24    0.0036904520
 7.3831863415     49      1     43      8    0.0050722371
15.4795581413     49      7     36     22    0.0076947668
17.5194027535     49      8     34     25    0.0098534174
 1.3706683958     49     13     48     11    0.0008740287
 3.8484371940     49     17     50     12    0.0017236945
 3.4772795303     49     34     43     37    0.0067547476
21.3188506190     50      9     31     30    0.0027476307
 2.3878663767     50     17     46     19    0.0070916435
 9.5912668856     50     20     39     30    0.0021669142
13.2690188567     50     21     35     35    0.0035497813
 5.0616606833     50     24     43     29    0.0077959820
 biggest percentage =    2.5540241964888943E-004
