theta	m1	n1	m2	n2	point_distance
4.795747192	194	189	212	154	1.66819E-05
4.935562837	199	8	180	27	4.18282E-05
4.988250237	260	238	284	191	3.54724E-05
5.105222669	281	58	249	86	2.73421E-05
5.165915285	224	198	245	157	1.34203E-05
5.186432188	139	22	142	6	7.07332E-05
5.205012268	272	112	235	140	8.09778E-05
5.25119313	272	141	288	100	6.3705E-06
5.375648261	132	41	115	55	9.12889E-05
5.397164647	251	174	271	131	8.39016E-05
5.411298851	239	155	257	115	5.20422E-05
5.587515949	276	25	246	55	0.000079058
5.635594762	224	137	241	99	1.19453E-05
5.645197553	114	61	96	74	0.000044473
5.671277892	285	48	293	12	0.000049166
5.766614756	297	90	257	124	1.48979E-05
5.972876309	174	164	195	127	6.44353E-05
6.027058559	239	96	203	125	5.11236E-05
6.031248386	249	231	279	178	9.05902E-05
6.059597275	250	84	263	46	1.41338E-05
6.112614897	209	70	220	38	9.35724E-05
6.180383345	133	77	144	53	5.19997E-05
6.20737771	227	58	196	86	1.5659E-06
6.223104605	205	27	180	52	3.61014E-05
6.236516917	282	75	243	110	8.59285E-05
6.246466475	252	128	271	84	0.000013678
6.317643054	224	137	244	95	1.19453E-05
6.363751896	191	36	166	60	4.45063E-05
6.429930629	163	44	171	19	4.7617E-06
6.479034323	266	126	286	79	2.46447E-05
6.529828296	229	129	249	86	2.73421E-05
6.61463857	124	101	139	74	5.46082E-05
6.743620112	163	44	139	66	4.7617E-06
6.785877338	220	206	251	154	4.46251E-05
6.883798069	189	131	210	91	2.16199E-05
6.898512155	99	43	82	57	5.90084E-05
7.019586072	98	15	102	0	2.41934E-05
7.117780187	188	139	211	97	8.85828E-05
7.142998571	192	26	166	53	9.46432E-05
7.146492182	176	169	203	125	5.11236E-05
7.15729702	174	111	193	74	8.67372E-05
7.260954118	183	17	159	43	2.54076E-05
7.291764462	132	29	139	7	1.84026E-05
7.514119308	194	189	226	138	1.66819E-05
7.635439404	226	70	188	105	6.49792E-05
7.640285133	183	139	208	95	1.12058E-05
7.705807325	249	227	289	162	5.86393E-05
7.772913551	58	12	49	21	4.54084E-05
7.836308485	197	138	223	91	0.000016981
7.838787584	254	181	288	120	4.25217E-05
7.850665462	248	132	197	173	0.000095501
7.97024928	125	30	133	7	4.16719E-05
7.987118553	139	22	118	44	7.07332E-05
7.994048311	258	136	286	79	2.46447E-05
8.028823615	286	172	223	221	7.55618E-05
8.192290353	163	44	135	71	4.7617E-06
8.353763267	276	73	296	19	1.83849E-05
8.477437512	259	141	290	80	0.000069538
8.660701228	241	87	194	130	4.93686E-05
8.730691745	125	30	103	52	4.16719E-05
8.815051188	242	153	276	91	4.06962E-05
8.860422641	232	42	193	83	5.24723E-05
8.974878542	291	108	232	162	0.000065763
9.14671282	206	197	248	133	1.5861E-06
9.19675722	243	205	288	133	9.11656E-05
9.321293571	203	109	230	57	6.41108E-05
9.507977395	231	19	194	62	8.53063E-05
9.518747083	194	189	236	126	1.66819E-05
9.557805865	245	123	277	60	7.14973E-05
9.652519325	102	27	82	47	0.000018583
9.688674321	252	128	191	180	0.000013678
9.802530255	132	41	145	10	9.12889E-05
9.854926194	189	155	226	96	9.9563E-06
9.936373838	223	107	169	154	0.000016981
10.3224427	297	70	237	132	8.90435E-05
10.34079281	203	197	251	126	2.66223E-05
10.35355096	242	153	283	81	4.06962E-05
10.6353546	147	119	178	70	1.10627E-05
10.65980619	207	198	257	124	1.48979E-05
10.68770014	285	119	215	183	9.75724E-05
10.73246982	86	39	98	15	8.93313E-05
10.77976371	124	64	143	28	6.63061E-05
11.15143409	219	22	178	70	1.10627E-05
11.32119828	267	79	205	141	2.73421E-05
11.36495504	225	118	262	49	7.93327E-05
11.41839174	230	157	276	80	3.50147E-05
11.49528456	230	160	277	82	4.29228E-05
11.76894889	256	60	198	121	8.47777E-05
11.77949995	201	170	250	95	4.51727E-05
11.7879314	210	181	262	102	5.18813E-05
11.83548516	99	43	114	13	5.90084E-05
11.99394802	58	12	45	26	4.54084E-05
12.04874002	162	161	208	95	1.12058E-05
12.13426937	285	48	223	117	0.000049166
12.16373479	235	219	299	125	4.86886E-05
12.38241851	185	171	236	96	8.40692E-05
12.47180814	222	169	275	85	9.23789E-05
12.71115458	231	29	181	87	6.79379E-05
12.8781928	272	48	209	118	5.1056E-06
13.17890114	104	12	81	39	0.000062505
13.40607225	299	100	215	183	9.75724E-05
13.44459481	149	131	192	67	2.93983E-05
13.45031779	267	3	214	72	7.02234E-05
13.54857056	208	127	254	48	6.27533E-05
13.74654889	241	87	170	156	4.93686E-05
13.80344869	297	70	219	153	8.90435E-05
13.81653941	125	30	92	65	4.16719E-05
13.81993784	231	29	177	92	6.79379E-05
13.85672208	262	54	195	127	6.44353E-05
13.90089885	213	185	276	91	4.06962E-05
13.90495384	239	96	280	13	5.11236E-05
14.23967599	206	203	275	105	4.73856E-05
14.52775027	183	2	144	53	5.19997E-05
14.63542826	224	181	290	80	0.000069538
14.64379012	126	112	166	53	9.46432E-05
14.69955413	207	145	262	56	6.57489E-05
14.70062886	281	58	205	141	2.73421E-05
14.78461422	213	69	148	134	0.000062134
14.86834514	231	19	176	86	8.53063E-05
14.88075014	123	121	166	60	4.45063E-05
14.94834442	157	84	192	21	4.17306E-05
15.01752359	276	25	209	106	0.000079058
15.17215012	185	19	139	74	5.46082E-05
15.2569604	88	47	108	11	1.03344E-05
15.30966583	198	177	264	80	0.000082246
15.31754305	149	124	196	53	2.68271E-05
15.35685806	163	44	114	95	4.7617E-06
15.43939863	213	185	283	81	4.06962E-05
15.54220386	273	13	208	95	1.12058E-05
15.80592173	227	74	153	148	8.95411E-05
15.89105978	254	26	188	105	6.49792E-05
15.91923172	218	10	165	77	6.79189E-05
16.86952736	227	165	298	52	3.00396E-05
17.1716341	206	197	287	81	1.5861E-06
17.2204783	185	171	256	68	8.40692E-05
17.42818807	207	133	268	31	3.19998E-05
17.62084509	191	138	253	39	4.96358E-05
17.90661751	249	38	172	126	8.41024E-05
17.97634741	147	119	200	38	1.10627E-05
18.01844545	208	165	282	51	4.10624E-05
18.09070887	277	32	194	130	4.93686E-05
18.1500298	174	111	227	22	8.67372E-05
18.26575728	183	177	260	67	0.000049166
18.63301792	183	139	248	37	1.12058E-05
18.9381177	232	116	294	1	7.03508E-05
18.9908015	216	125	280	13	5.11236E-05
19.19990389	198	177	280	56	0.000082246
19.36838101	285	48	188	157	0.000049166
19.38149377	189	131	254	25	2.16199E-05
19.48933317	194	183	279	60	1.41627E-05
19.53730264	191	36	124	110	4.45063E-05
