twist_angle(°)   AA/period_area           AB/period_area
                 0.000638453       0.09077813949470272       0.1971031074978479       
                 0.000915117       0.09060931223022718       0.1968399534186707       
                 0.001341221       0.09065128865678633       0.19697421224881756       
                 0.001905551       0.09029714159254275       0.19624993394664006       
                 0.002965108       0.08959545858439494       0.19494828664167813       
                 0.003741581       0.09059115795567463       0.19698458847304454       
                 0.004256781       0.09071713458983964       0.19718515967180789       
                 0.00650365       0.08891963274999902       0.19272808409412145       
                 0.008047237       0.09045578041579218       0.19680542061345271       
                 0.008500574       0.09048185431230626       0.19655207960089502       
                 0.009082682       0.0901601911048971       0.19596593828325698       
                 0.009152924       0.09079121231957321       0.1970599606639729       
                 0.009664141       0.09073316010634838       0.19687395501979968       
                 0.010349275       0.08992961739861734       0.1950417805079474       
                 0.011118926       0.09086413116500383       0.19673088994547366       
                 0.011627322       0.09037761021739431       0.19610929220328097       
                 0.012656272       0.09053323719474973       0.19677199559784903       
                 0.015535194       0.09063464032622914       0.19689476642580803       
                 0.015996647       0.09048636420759551       0.19647787780629072       
                 0.016715377       0.09038502981102742       0.19624275492056167       
                 0.017434934       0.0906811678143031       0.19698277292054447       
                 0.018244099       0.09063078417852792       0.19691940300471628       
                 0.019266006       0.09062965722795856       0.1967233655656676       
                 0.020116869       0.0895557226959329       0.1958151419587783       
                 0.021328002       0.09035963005773173       0.1959038030308764       
                 0.022068584       0.09028927125182286       0.1963388686617247       
                 0.022595445       0.09046176059784766       0.19642553261227827       
                 0.023117493       0.09051005893066204       0.1965923377893053       
                 0.023546757       0.09055721852788814       0.19697112961765295       
                 0.023863201       0.0906894548534127       0.19703506090264036       
                 0.02567396       0.0904536222065813       0.1964599505450717       
                 0.026262817       0.0903710900839003       0.19624252709307183       
                 0.026864436       0.09042182490889696       0.19626307652667463       
                 0.027814274       0.08999317293128192       0.19544716798406567       
                 0.029484577       0.08929182346813187       0.19481320728321463       
                 0.030488704       0.0905386343450102       0.19658145596525792       
                 0.031128283       0.09059832734914018       0.19514964206010293       
                 0.031907007       0.09049871721290147       0.19648540792474284       
                 0.032737215       0.09080736745493927       0.19698760157155845       
                 0.033205003       0.09007457567713384       0.196232878715415       
                 0.034217106       0.09054214116960689       0.19680574927262381       
                 0.034678933       0.09031656379947779       0.19631999949353685       
                 0.035262346       0.09032015331553467       0.19634584778150338       
                 0.036902865       0.09061260026789675       0.19670655628576217       
                 0.037532692       0.090587214757157       0.19695859378863517       
                 0.038078115       0.0902209131063427       0.19607626003554282       
                 0.038757736       0.09045294135896217       0.19647958116484152       
                 0.046112911       0.08795989785173151       0.19809669963316792       
                 0.046622017       0.09076886310795364       0.197036501499797       
                 0.04722644       0.09056194201204629       0.19680565415244852       
                 0.047930663       0.09010635183856135       0.19579493894212072       
                 0.048756995       0.09053407403277353       0.1965932991662155       
                 0.049032727       0.09068415620074159       0.19694366801750254       
                 0.049839531       0.08988811130157168       0.1937850903060495       
                 0.051231997       0.09036171707530538       0.1961674239027073       
                 0.05190204       0.09070747818084669       0.19627367026638937       
                 0.053238299       0.09076158354033319       0.19717891417903674       
                 0.054344173       0.09041369601713656       0.19689030040679406       
                 0.054742376       0.09050179970345244       0.19661118935407532       
                 0.055448493       0.08996783096280778       0.19657913747607614       
                 0.057264377       0.08933185677277151       0.19357505843833372       
                 0.058136593       0.09083645977907681       0.19725209876634114       
                 0.058394269       0.09054644648437331       0.1967271192151143       
                 0.058943515       0.0903514166152369       0.1961663146876666       
                 0.059501116       0.09016950521168206       0.19573571127017134       
                 0.06192335       0.09030272594989036       0.19616996861476568       
                 0.062994196       0.09039024756546882       0.1966764484572974       
                 0.063034409       0.09079939543950155       0.1972699888961524       
                 0.106858948       0.0903223755318275       0.19580487874981714       
                 0.197168558       0.09053634076432568       0.19703704950269987       
                 0.296470895       0.08805738817849718       0.19775968399190114       
                 0.337705139       0.0903667514165583       0.19630512965879174       
                 0.365314712       0.09015888976526061       0.19587665083469455       
                 0.385505571       0.08697633001220473       0.19755310457929848       
                 0.425743832       0.08943273661130692       0.19477187777978075       
                 0.497105326       0.0900652554510636       0.19559854635678217       
                 0.635106935       0.08989130912522628       0.19490742068821115       
                 0.651939971       0.0897099384209001       0.19461914862442417       
                 0.82505981       0.08910990634257025       0.19362672970188377       
                 0.875783347       0.08866095414025049       0.19278355739468614       
                 0.909460521       0.08834816127641669       0.1921956096274924       
                 0.941210892       0.08669257736783195       0.19404204313339443       
                 0.951834912       0.08864259074842946       0.19265701027111395       
                 1.000953824       0.088255219559635       0.19163738413381015       
                 1.092623831       0.08811935988441776       0.19120622456210204       
